id,name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ex1,Ex2,Ex3,Ex4,Total
,,G T,"$19,620.00",,,,,,,,,,,,,,,
,,G Monthly T,"$11,420.00",,,G C ex T,"$8,200.00",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Non du Club Inc,1/27,2/24,3/31,4/28,5/26,6/30,8/4,8/25,9/29,10/27,11/24,12/29,2/19,6/19,8/19,11/19,Total
,"Member
",,,,,,,,,,,,,C Ex 1,C Ex 2,C Ex 3,C Ex 4,
1,Mario Speedwagon,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
2,Petey Cruiser,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,,$35.00,$25.00,$265.00
3,Anna Sthesia,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
4,Paul Molive,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
5,Anna Mull,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
6,Gail Forcewind,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$385.00
7,Paige Turner,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,,,$35.00,$25.00,$240.00
8,Bob Frapples,,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,$25.00,$365.00
9,Walter Melon,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$20.00,$45.00,$100.00,$35.00,,$385.00
